%22accelerometer%22
%22apps%22
%22phone+battery%22
%22bluetooth%22
%22inferred+conversation%22
%22smartphone+light+sensor%22
%22global+positioning+system%22
%22smartphone+keyboard%22
%22smartphone+screen%22
%22smartphone+microphone%22
%22smartwatch%22
%22actigraph%22
%22oura%22
%22ecological+momentary+assessments%22
%22experience+sampling+method%22
%22environmental+audio%22
%22heart+rate%22
%22sleep+duration%22
%22smartphone+use%22
%22calls%22
%22short+message+service%22
%22indoor+mobility%22
%22outdoor+mobility%22
%22footsteps%22
%22calories%22
%22social+interaction%22
%22physical+activity%22
%22screen+brightness%22
%22mobile+health%22
%22medical+informatics%22
%22smartphone%22
%22digital+phenotype%22
%22passive+data%22
%22active+data%22
%22wearables%22
%22personal+sensing%22
%22objective+sensor+data%22
%22early+warning+signals%22
%22smartphone+apps%22
%22GPS%22
%22EMA%22
%22ESM%22
%22phone%22
%22breathing+rate%22
%22respiratory+rate%22
%22heart+rate+variation%22
%22heart+rate+variability%22
%22blood+pressure%22
%22oximetry%22
%22oxygen+saturation%22
%22pulse+rate%22
%22activity+tracker%22
%22smart+monitoring%22
%22eye+tracking%22
%22mHealth%22
%22ambulatory+assessment%22
